sucursal_id,action,timestamp_lvt,details
0,Recibida 'tarea a',5375,Evento T_E=5426
0,Checkpoint Creado,5375,
0,Procesada 'tarea a',5426,
0,Procesada 'tarea b' (Interna),5428,Duración: 2
0,Recibida 'tarea a',5428,Evento T_E=5429
0,Checkpoint Creado,5428,
0,Procesada 'tarea a',5429,
0,Procesada 'tarea b' (Interna),5433,Duración: 4
0,Recibida 'tarea a',5433,Evento T_E=5441
0,Checkpoint Creado,5433,
0,Procesada 'tarea a',5441,
0,Procesada 'tarea b' (Interna),5442,Duración: 1
0,Recibida 'tarea a',5442,Evento T_E=5466
0,Checkpoint Creado,5442,
0,Procesada 'tarea a',5466,
0,Procesada 'tarea b' (Interna),5467,Duración: 1
0,Recibida 'tarea a',5467,Evento T_E=5480
0,Checkpoint Creado,5467,
0,Procesada 'tarea a',5480,
0,Procesada 'tarea b' (Interna),5484,Duración: 4
0,Recibida 'tarea a',5484,Evento T_E=5504
0,Checkpoint Creado,5484,
0,Procesada 'tarea a',5504,
0,Procesada 'tarea b' (Interna),5506,Duración: 2
0,Recibida 'tarea a',5506,Evento T_E=5523
0,Checkpoint Creado,5506,
0,Procesada 'tarea a',5523,
0,Procesada 'tarea b' (Interna),5524,Duración: 1
0,Recibida 'tarea a',5524,Evento T_E=5525
0,Checkpoint Creado,5524,
0,Procesada 'tarea a',5525,
0,Procesada 'tarea b' (Interna),5529,Duración: 4
0,Recibida 'tarea a',5529,Evento T_E=5531
0,Checkpoint Creado,5529,
0,Procesada 'tarea a',5531,
0,Procesada 'tarea b' (Interna),5534,Duración: 3
0,Recibida 'tarea a',5534,Evento T_E=5551
0,Checkpoint Creado,5534,
0,Procesada 'tarea a',5551,
0,Procesada 'tarea b' (Interna),5553,Duración: 2
0,Recibida 'tarea a',5553,Evento T_E=5570
0,Checkpoint Creado,5553,
0,Procesada 'tarea a',5570,
0,Procesada 'tarea b' (Interna),5575,Duración: 5
0,Recibida 'tarea a',5575,Evento T_E=5588
0,Checkpoint Creado,5575,
0,Procesada 'tarea a',5588,
0,Procesada 'tarea b' (Interna),5592,Duración: 4
0,Recibida 'tarea a',5592,Evento T_E=5599
0,Checkpoint Creado,5592,
0,Procesada 'tarea a',5599,
0,Procesada 'tarea b' (Interna),5601,Duración: 2
0,Recibida 'tarea a',5601,Evento T_E=5615
0,Checkpoint Creado,5601,
0,Procesada 'tarea a',5615,
0,Procesada 'tarea b' (Interna),5616,Duración: 1
0,Recibida 'tarea a',5616,Evento T_E=5714
0,Checkpoint Creado,5616,
0,Procesada 'tarea a',5714,
0,Procesada 'tarea b' (Interna),5715,Duración: 1
0,Recibida 'tarea a',5715,Evento T_E=5770
0,Checkpoint Creado,5715,
0,Procesada 'tarea a',5770,
0,Procesada 'tarea b' (Interna),5775,Duración: 5
0,Recibida 'tarea a',5775,Evento T_E=5776
0,Checkpoint Creado,5775,
0,Procesada 'tarea a',5776,
0,Procesada 'tarea b' (Interna),5779,Duración: 3
0,Recibida 'tarea a',5779,Evento T_E=5796
0,Checkpoint Creado,5779,
0,Procesada 'tarea a',5796,
0,Procesada 'tarea b' (Interna),5799,Duración: 3
0,Recibida 'tarea a',5799,Evento T_E=5802
0,Checkpoint Creado,5799,
0,Procesada 'tarea a',5802,
0,Procesada 'tarea b' (Interna),5804,Duración: 2
0,Recibida 'tarea a',5804,Evento T_E=5854
0,Checkpoint Creado,5804,
0,Procesada 'tarea a',5854,
0,Procesada 'tarea b' (Interna),5857,Duración: 3
0,Recibida 'tarea a',5857,Evento T_E=5870
0,Checkpoint Creado,5857,
0,Procesada 'tarea a',5870,
0,Procesada 'tarea b' (Interna),5872,Duración: 2
0,Recibida 'tarea a',5872,Evento T_E=5895
0,Checkpoint Creado,5872,
0,Procesada 'tarea a',5895,
0,Procesada 'tarea b' (Interna),5896,Duración: 1
0,Recibida 'tarea a',5896,Evento T_E=5911
